type_shoes,price,address,image_link-src
Chaussures Vans Old school,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589692_uploaded_image1_1646225698.jpg
Baskets Adidas,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549080_uploaded_image1_1643747473.jpg
Baskets Nike Jordan,16 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549070_uploaded_image1_1643747078.jpg
Baskets Nike Jordan,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3615383_uploaded_image1_1647696491.jpg
Chaussures homme,20 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3615371_uploaded_image2_1647696176.jpeg
Baskets Yeezy 700 V1,18 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3614865_uploaded_image1_1647647562.jpg
Baskets Adidas Topanga,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3614863_uploaded_image1_1647647502.jpg
Chaussures Lacoste,22 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3614856_uploaded_image1_1647646862.jpg
Chaussures homme,23 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3576610_uploaded_image1_1645449702.jpg
Baskets Nike,20 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3576581_uploaded_image1_1645448634.jpg
Chaussures daim,25 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3576548_uploaded_image1_1645447921.jpg
Chaussures homme,5 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3614142_uploaded_image1_1647607890.jpg
Souliers Richelieu,22 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3613867_uploaded_image1_1647597829.jpg
Baskets homme,6 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3613660_uploaded_image1_1647580368.jpg
Sneakers homme,35 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3573444_uploaded_image1_1645210368.jpg
Chaussures homme,47 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3612297_uploaded_image1_1647511318.jpg
Baskets Jordan,40 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3612171_uploaded_image1_1647503864.jpg
Baskets homme,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3612155_uploaded_image3_1647503050.jpeg
