type_clothes,price,address,image_link-src
Pulls Hommes,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809450_uploaded_image1_1607103755.jpg
Pantalons hommes,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809445_uploaded_image1_1607103654.jpg
Pantalons Hommes,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809436_uploaded_image1_1607103378.jpg
Pantalons Hommes,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809433_uploaded_image1_1607103316.jpg
Pantalons Hommes,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809421_uploaded_image1_1607102922.jpg
Chemise homme,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809373_uploaded_image1_1607101563.jpg
Chemise homme,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809371_uploaded_image1_1607101485.jpg
Tunique homme,14 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809345_uploaded_image1_1607100302.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809010_uploaded_image1_1607091188.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809004_uploaded_image1_1607091142.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809002_uploaded_image1_1607091036.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2808996_uploaded_image1_1607090940.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2808995_uploaded_image1_1607090902.jpg
Pulls homme,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2808337_uploaded_image1_1607079641.jpg
Costume homme,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807960_uploaded_image1_1607069946.jpg
Costumes  200's,35 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807751_uploaded_image1_1607064551.jpg
Polos Lacoste,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807607_uploaded_image1_1607048932.jpg
Polos Tommy Hilfiger,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807605_uploaded_image1_1607048666.jpg
Polo Lacoste,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807601_uploaded_image1_1607048420.jpg
Polo Lacoste,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807598_uploaded_image1_1607048263.jpg
Polos,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807596_uploaded_image1_1607048152.jpg
Ensemble homme,40 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2807534_uploaded_image1_1607043002.jpg
