type_child_clothes,price,address,image_link-src
Boubous,120 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_743088_uploaded_image1_1563042064.94.png
T-shirt fille,4 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_731189_uploaded_image1_1562761328.4.png
T-shirt fille,4 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_731177_uploaded_image1_1562761182.12.png
Balle friperie enfant,360 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_1423704_uploaded_image1_1578090715.62.png
Robe enfant,8 000CFA,"Songon-Kassemblé, Côte d'Ivoire",https://images.coinafrique.com/thumb_1417286_uploaded_image1_1577962104.15.png
Robe enfant,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1401669_uploaded_image1_1577546314.31.png
Robe enfant,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1401651_uploaded_image1_1577546048.35.png
Robe  enfant,10 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_1401643_uploaded_image1_1577545758.97.png
Robe princesse pour bébé 15 à 20 mois,13 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1400820_uploaded_image1_1577535349.31.png
Robe,14 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1400812_uploaded_image1_1577535244.29.png
Robe princesse 9 - 10 ans,14 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1400808_uploaded_image1_1577535170.77.png
Robe bleu pour fille 11 à 13 ans,16 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1400802_uploaded_image1_1577535057.23.png
Robe princesse,16 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1400795_uploaded_image1_1577535006.98.png
Vêtements enfants,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1394416_uploaded_image1_1577402312.49.png
